post_id,username,created_at,cooked,post_num,updated_at,reply_count,reply_to_post_num,reads,topic_id,user_id,topic_slug,forum
400523,joelthesellout,2020-07-14T18:31:42.654Z,hey working building new marketing site company running across really strange issue affecting used closed everything great equal space item see screen shot however open strange extra space open screen shot spacing padding margin anything classes check read link see smoothness transition made thing class used collection take generate statically site strange issue maybe bug hopefully someone check help,,2020-07-14T18:31:42.654Z,0,,9,128964,25539,strange-extra-padding-on-cms-dropdown,webflow
400889,joelthesellout,2020-07-15T22:56:21.996Z,bumping still issue,,2020-07-15T22:56:21.996Z,0,,8,128964,25539,strange-extra-padding-on-cms-dropdown,webflow
401063,vish,2020-07-16T15:24:59.737Z,u share,,2020-07-16T15:24:59.737Z,0,,6,128964,38861,strange-extra-padding-on-cms-dropdown,webflow
401083,vish,2020-07-16T16:06:11.386Z,space comes test add color item see extra space,,2020-07-16T16:06:11.386Z,0,,5,128964,38861,strange-extra-padding-on-cms-dropdown,webflow
401089,joelthesellout,2020-07-16T16:21:05.637Z,link reason grid extra space fix would,,2020-07-16T16:21:05.637Z,1,,5,128964,25539,strange-extra-padding-on-cms-dropdown,webflow
401700,vish,2020-07-19T14:59:10.123Z,want use grid opinion normal,,2020-07-19T14:59:10.123Z,0,,5,128964,38861,strange-extra-padding-on-cms-dropdown,webflow
401704,Sahil.M,2020-07-19T15:31:53.941Z,found set display div block instead block,,2020-07-19T15:34:48.742Z,0,,5,128964,39023,strange-extra-padding-on-cms-dropdown,webflow
404953,joelthesellout,2020-07-30T18:03:20.395Z,thank,,2020-07-30T18:03:20.395Z,0,,2,128964,25539,strange-extra-padding-on-cms-dropdown,webflow
404855,nclement,2020-07-30T11:30:26.005Z,hello quite work links link shifting hover roll top link see thanks help site share site link,,2020-07-30T11:30:26.005Z,0,,5,131165,39525,link-shifting-on-hover,webflow
404872,nclement,2020-07-30T12:45:05.847Z,seem clash somewhere class works mobile menu,,2020-07-30T12:45:05.847Z,0,,5,131165,39525,link-shifting-on-hover,webflow
404956,ChrisT,2020-07-30T18:11:14.266Z,hey nick try try get rid display links reset fine links hover state make links prevent hovering intended link shift mobile view comes mismatch line height tablet mobile view normal state line height hover state line height set jump hover set equal line height fine ×,,2020-07-30T18:11:14.266Z,0,,4,131165,37075,link-shifting-on-hover,webflow
